SubjectId,Sex,Age,Height,Weight,Hip,Chest,Waist,Shoulders,Note
1,M,22,181,74.1,102,88.5,93,48,
2,M,23,185,88.1,101,102.5,102,50,
3,M,26,168.5,52.7,83,89,68,45,
4,M,27,179,72,101,90,87,48,
5,M,39,177.3,94,104,115,108,49,
6,F,23,168.3,62.7,98.5,89.5,68.3,38,
7,F,20,162,61.2,99,89,74,40,
8,M,26,171,66,91,91,85,41,
9,F,22,171,59.9,87.2,90.5,68,38,
10,M,22,172.2,61.3,88,94.5,72.5,39.5,
11,F,23,175,113,125,130,110,47,
12,F,19,163.2,55.2,94.1,80.3,67.5,37.8,
13,F,19,175.3,89.9,113,111.5,107.5,45.7,
14,F,27,168,65.3,99,94.5,78,37,
15,M,22,184,84.4,104.2,109.8,98.5,47.8,
16,M,21,180,68.7,103.5,92,84.5,45,
17,M,50,175,81.3,104,104,102,45,
18,M,69,176,96.9,108.2,124.5,117,49.5,
19,M,40,178.5,82.9,99,103.5,96.5,43.5,
20,M,21,175,66.1,95.5,97.5,83,45.3,
